,InSample_PnL,PnL,success_rate,Num_of_Trade,trade_frequency,Return,Sharpe_Ratio,winner_PnL,loser_PnL
ARNC/PNR,324.40699604586655,0.0,0.0,0,0.0,0.0,-inf,0.0,0.0
HII/PNR,332.32078833699,-65.24053911024599,0.0,1,0.18288590604026847,-0.006524053911024599,-29.158379581612152,0.0,-325.77661239401425
RE/SIVB,759.2269079298712,98.14392279730811,0.5714285714285714,7,0.5335570469798657,0.009814392279730811,7.385993455382982,1295.255191182687,-1058.9698154255136
EXPE/KMX,460.9070998365021,-86.74009468137314,0.5,6,0.14373601789709173,-0.008674009468137314,-17.202153228714828,530.4549748198214,-934.054210874139
BSX/WCG,301.84845285413905,110.17068850627919,0.8333333333333334,6,0.27293064876957496,0.011017068850627918,35.152330309457966,696.4316309405591,-214.56261789714944
HCA/ILMN,233.41200909688064,69.67662879298905,1.0,1,0.15212527964205816,0.006967662879298905,19.679391972760627,348.636012807224,0.0
BSX/NKTR,1637.9806291153975,-57.52400021740792,0.6666666666666666,3,0.2930648769574944,-0.005752400021740792,-6.869219460054304,319.109358859133,-447.2848428890717
EXPE/NKE,477.19531235241817,-164.4093310043438,0.16666666666666666,6,0.3243847874720358,-0.01644093310043438,-54.509949316070205,174.24689953215295,-929.784385412895
KMX/NKE,296.80671629733064,-122.39800478972587,0.0,4,0.35626398210290827,-0.012239800478972588,-31.86835535976428,95.3475574743107,-627.7177859850331
KMX/MAT,666.5418934767494,-93.48591342116131,0.0,1,0.05425055928411633,-0.009348591342116132,-64.98917766897291,0.0,-343.01389997699414
